Article  ID,Datefixed,Date (Event),Time,Village/Place,Sub-District,Beat,Range,Division,District,State,Country,Latitude (DD),Longitude (DD),Herd,All male,Total,Alcohol,Captive?,Injured Male,Injured Female,Einjured,Killed Male,Killed Female,Edeath,Name,Age,Gender,Alcohol,Cause of Death/Injury,Accidental?,During HEC Encounter,Retaliatory,Poaching,Human Death/Injury,Attractant,"Area (Forest, Ag, Village, Habitation, Urban)",Legal Electric Fence,Fence Broken,Elephant Proof Trenches ,Drive away Elephants ,Guns,Loud Sounds,Fine,Fine Amount,Jail Sentence,Other,Comments,Links,Source,Title,Date Published,Article,No. of Articles
2004.01.EDI.1,2004-01-20,20-01-2004,NG,NG,NG,NG,NG,NG,West Garo Hills,Meghalaya,India,NG,NG,1,NG,24,1,0,0,0,0,NG,NG,4,NG,NG,NG,0,Electrocution,1,0,0,0,0,NA,Forest,0,0,0,0,0,0,0,0,0,NA,Elephants targeting places with country alcohol.,NG,Ananoya,Asian elephants electrocuted after drinking session ,20-01-2004,"Asian elephants electrocuted after drinking session
Ananova
January 20, 2004

Four wild Asian elephants that got drunk on rice beer have been electrocuted 
in the northern Indian state of Meghalaya.

A forest official said a herd of about 24 elephants went on the rampage in a 
remote area in the West Garo Hills district.

""The elephants, after getting high on rice beer, started dashing against an 
electric pole. A live wire fell, killing four elephants instantly,"" said the 
official.

Wild elephants have been targeting areas in Meghalaya and the adjoining 
state of Assam where people brew large volumes of rice beer, reports the 
Kerala Nextwebsite.

""We have come across devastating drunken bouts by herds that have developed 
a liking for country liquor,"" said Kushal Konwar Sharma, a noted elephant 
expert.

In the last two years, elephants have killed at least 180 people in Assam 
and Meghalaya. Angry villagers, in turn, have killed up to 200 of the 
animals.

The last elephant census in 1999 recorded 7,200 wild elephants in Assam and 
Meghalaya, more than half of India's count of 10,000.",1
2004.01.EDI.2,2004-01-24,24-01-2004,NG,Palapatti,NG,NG,NG,NG,Coimbatore,Tamil Nadu,India,NG,NG,0,0,1,0,0,0,0,0,0,1,1,NG,NG,NG,0,Electrocution,0,1,1,0,0,"Cabbage, Tobaco, Plantain",Agriculture,0,0,0,0,0,0,0,0,0,NA,No comments.,https://www.thehindu.com/2004/01/27/stories/2004012709690500.htm,The Hindu ,2 Held for Elephants electrocution,27-01-2004,"2 HELD FOR ELEPHANTS ELECTROCUTION
The Hindu
January 27, 2004

Two farm assistants have been taken into custody by special teams of the 
Forest department in connection with the electrocution of a tusker and a 
female elephant at two places in the Coimbatore reserve forest division. One 
incident was reported on Saturday night and the other on Sunday. The female 
elephant was killed at Palapatti near the Sirumugai reserve forest area off 
Mettuppalayam, when it tried to stray into a farm, where cabbage, tobacco 
and plantain crops were raised. At Anaimedu in the Boluvampatti forest area, 
a 20-year-old tusker was electrocuted.

Talking to The Hindu, the District Forest Officer, P. Durairasu, said that 
with the depletion of buffer land, which falls between farm and forest land, 
elephants regularly strayed into farms in search of food and water.

He appealed to farmers to refrain from cultivating crops, which attracted 
elephants, and sought a change in the cropping pattern at least on forest 
fringes. The farmers were expected to register with the Forest department, 
the Electricity Board and the district administration before they went for 
electric fencing.

Farmers providing illegal current connection to their fences instead of 
using battery or solar power had come into light. The animals stray into 
farms only after dusk or early morning and the farmers provide the 
connection late in the night to avoid the notice of patrol teams.

The department proposed to keep an eye on fences from Madukkarai to 
Mettuppalayam to ensure that the farmers drew power only from solar panels 
or batteries. The agriculturists would be educated on the need to register 
their names with the department, the TNEB and the district administration.

Eight places were identified for sinking borewells to fill up water troughs, 
especially in areas prone to man-animal conflict. The work would be taken up 
during February first week.",1
2004.01.EDI.3,2004-01-25,25-01-2004,NG,Anaimedu,NG,NG,NG,NG,Coimbatore,Tamil Nadu,India,NG,NG,0,0,1,0,0,0,0,0,1,0,1,NG,NG,NG,0,Electrocution,0,1,1,0,0,NG,Agriculture,0,0,0,0,0,0,0,0,0,NA,No comments.,https://www.thehindu.com/2004/01/27/stories/2004012709690500.htm,The Hindu ,2 Held for Elephants electrocution,27-01-2004,"2 HELD FOR ELEPHANTS ELECTROCUTION
The Hindu
January 27, 2004

Two farm assistants have been taken into custody by special teams of the 
Forest department in connection with the electrocution of a tusker and a 
female elephant at two places in the Coimbatore reserve forest division. One 
incident was reported on Saturday night and the other on Sunday. The female 
elephant was killed at Palapatti near the Sirumugai reserve forest area off 
Mettuppalayam, when it tried to stray into a farm, where cabbage, tobacco 
and plantain crops were raised. At Anaimedu in the Boluvampatti forest area, 
a 20-year-old tusker was electrocuted.

Talking to The Hindu, the District Forest Officer, P. Durairasu, said that 
with the depletion of buffer land, which falls between farm and forest land, 
elephants regularly strayed into farms in search of food and water.

He appealed to farmers to refrain from cultivating crops, which attracted 
elephants, and sought a change in the cropping pattern at least on forest 
fringes. The farmers were expected to register with the Forest department, 
the Electricity Board and the district administration before they went for 
electric fencing.

Farmers providing illegal current connection to their fences instead of 
using battery or solar power had come into light. The animals stray into 
farms only after dusk or early morning and the farmers provide the 
connection late in the night to avoid the notice of patrol teams.

The department proposed to keep an eye on fences from Madukkarai to 
Mettuppalayam to ensure that the farmers drew power only from solar panels 
or batteries. The agriculturists would be educated on the need to register 
their names with the department, the TNEB and the district administration.

Eight places were identified for sinking borewells to fill up water troughs, 
especially in areas prone to man-animal conflict. The work would be taken up 
during February first week.",0
2004.01.EDI.4,2004-01-29,29-01-2004,NG,Pekanbaru,NG,NG,NG,NG,NG,Riau,Indonesia,NG,NG,0,0,2,0,1,0,0,0,1,0,2,NG,NG,NG,0,Poison,0,0,0,1,0,NG,Urban,0,0,0,0,0,0,0,0,0,NA,Elephants poisoned for their tusks.,NG,The Indonesian National News Agency,Two Elephants in Riau Poisoned to Death,29-01-2004,"TWO ELEPHANTS IN RIAU POISONED TO DEATH
Antara - The Indonesian National News Agency
January 29, 2004

Pekanbaru, Jan 29 (ANTARA) - Two male elephants were found dead after being 
poisoned by unidentified persons at spot near the elephant training center 
(PTL) in Duri area, Bengkalis district, Riau, recently.

Chairman of a local non-governmental organization on wildlife, Gamatra, said 
here on Thursday the two giant animals were found with their tusks gone. ""I 
think the killers were professionals working for a syndicate,"" he said.

It was assumed the killers were members of an elephant-killing syndicate as 
the tusks had been cut without hurting the elephants, he said.

In addition, female elephants wandering in the location were left untouched. 
""This is an indication that the killers only wanted to get the tusks because 
female elephants don't have tusks,"" he said.

Their modus operandi in killing elephants was by putting poison inside 
pineapples. The sample of poison had been taken to a laboratory in Bukit 
Tinggi for further examination.

Named 'Kola' and 'Amid', the two dead elephants were aged between 15 and 20 
years.",1
2004.01.EDI.4,2004-01-29,29-01-2004,NG,WCS ,NG,NG,NG,NG,NG,West Lampung,Indonesia,NG,NG,1,0,4,0,0,0,0,0,4,0,4,NG,NG,NG,0,Other Anthropogenic Causes,0,0,0,1,0,NA,Forest,0,0,0,0,0,0,0,0,0,NA,Elephants killed for their tusks.,NG,The Indonesian National News Agency,Experts call for investigation on killing of elephants in Indonesia Province. ,29-01-2004,"EXPERTS CALL FOR INVESTIGATION ON KILLING OF ELEPHANTS IN INDON PROVINCE
Antara - The Indonesian National News Agency
January 29, 2004

Bandar Lampung, Lampung, Jan 29 (ANTARA) - A number of environmental 
activists in Indonesia's Lampung province have urged concerned agencies to 
look into the killing of four elephants at the Bukit Barisan National Park, 
a spokesman has said.

The remains of the four elephants (elephas maximus sumatrensis, sp) were 
found near the Wildlife Conservation Society (WCS) research center within 
the premises of the park in Bengkunat subdistrict, West Lampung district, 
executive director of the non-governmental organization, WATALA, Joko 
Santoso said here Thursday.

The call to investigate the killing of the elephants has already been 
conveyed by WATALA, the Lampung Forest Conservation Consortium, the 
Indonesian Alas Foundation and WCS to the provincial administration, he 
said.

Joko said poachers have been killing such endangered animals as 
rhinoceroses, tigers and elephants and have been stealing parts of their 
bodies for money.

WCS researchers who found the remains of the four elephants saw that their 
tusks were missing, he said.

Joko said researchers sometimes hear gunshots as they do their tasks at the 
park.

Head of the park's management office, Tamen Sitorus, confirmed the death of 
the four elephants.

""Four elephants have died of illegal hunting,"" he said, adding that about 
600 elephants live at the national park.",1
2004.02.EDI.2,2004-02-20,20-02-2004,23:00,Kankhal,NG,NG,NG,NG,Haridwar,Uttarakhand ,India,NG,NG,0,0,1,0,0,0,0,0,1,0,1,NG ,NG,NG ,0,Electrocution,1,0,0,0,0,NG,Agriculture,0,0,0,0,0,0,0,0,0,NA,Elephant got caught in dangling electrical wires.,http://www.wpsi-india.org/news/26022004.php,Wildlife Protection Society of India Press Release,Another Elephant Electrocuted to Death ,27-02-2004,"Another Elephant Electrocuted to Death
Wildlife Protection Society of India Press Release
27 February 2004

Carelessness and negligence continue to take the lives of India’s wild 
animals. On 20 February 2004, around midnight, a wild tusker was 
electrocuted to death in an orchard in Mishar Pura village, under Kankhal 
Police Station, Haridwar, Uttaranchal.

According to preliminary reports received by the Wildlife Protection Society 
of India (WPSI), the orchard caretaker discovered the death at 7 a.m. on 21 
February, and informed the electricity department. At that time, the wire 
was still live. The electricity department finally shut down the power 
around 9 a.m. and then arrived at the spot.

The tragic death was easily preventable. The Uttaranchal Power Corporation 
had been carrying out maintenance work on an 11,000 KV power line running 
through the orchard. The contractor hired for the job neglected to secure 
the wires at the required height of 4 metres and left them dangling at 7 to 
8 feet. It was a tragedy waiting to happen when the tusker walked straight 
into the low slung wire.

The elephant was one of a group of young tuskers that would regularly cross 
the Tircha Bridge at Shyampur on their way to the Ganga. A WPSI project 
officer photographed the tuskers in October 2003.

Wild animal mortalities by electrocution  both accidental and deliberate  
have reached staggering proportions in India. WPSI presently has records of 
more than 257 large wild mammals that have been electrocuted in the last 14 
years. In the year 2003 alone, 28 elephants and six tigers died due to 
electrocution.

The Honourable Central Empowered Committee (CEC) of the Supreme Court of 
India is currently hearing a petition filed by WPSI on the electrocution of 
wild animals throughout India. The respondents, which include the Ministry 
of Power, Ministry of Environment and Forests and several State Electricity 
Boards, have been asked to work out a solution in collaboration with WPSI.

To see the images, please click on this link:
http://www.wpsi-india.org/news/26022004.php",1
2004.02.EDI.1,2004-02-23,23-02-2004,15:00,Kulanda,NG,NG,NG,NG,Pathanamthitta,Kerala,India,NG,NG,0,0,1,0,0,0,0,0,1,0,1,NG,NG,M,1,Torture,0,0,0,0,0,NA,Forest,0,0,0,0,0,0,0,0,0,NA,Elephant was tortured to death after refusing to enter river for bathing.,https://www.thehindu.com/2004/02/25/stories/2004022500930500.htm,The Hindu,Elephant Tortured to Death ,25-02-2004,"ELEPHANT TORTURED TO DEATH
The Hindu
February 25, 2004

In yet another case of alleged cruelty to elephants by ill-trained mahouts, 
a domesticated 45-year-old elephant died at Mannarakottappady, near 
Kulanada, on the Kaippuzha-Panangad Road on Monday evening.

The elephant, Manikantan, belonged to a timber merchant who runs a sawmill 
at Panangad. The pachyderm was reportedly taken for a bath to the nearby 
river. According to eyewitnesses, the elephant was beaten up badly by the 
mahouts when it showed signs of hesitation to enter the river.

The pachyderm reportedly turned a little violent when it was tortured to get 
into the river waters. They said all the three mahouts attending on the 
tusker were in an inebriated state and had tortured the elephant in their 
efforts to get it out of the river too. A large number of local people had 
gathered on the riverbank to witness the incident when the elephant turned 
violent.

They said the mahouts had hit the elephant with rock pieces and sharp iron 
implements.

The pachyderm with contusion all over the body and cut injuries on the leg 
was tamed', later, and was taken to the road around 3 p.m. The tusker was 
reportedly found weary and it collapsed when it reached Mannarakkottupady 
near Kaippuzha Elanjickalkavu, the local people said.

Meanwhile, the three mahouts escaped from the scene after sensing the death 
of the elephant. The tusker's carcass was lying on the road till it was 
reportedly removed to an unknown' destination by some unidentified people 
late in the night, the local people said.

Ironically, the police at Pandalam are feigning innocence saying that no 
complaint had been registered in this connection so far.

Meanwhile, the reporter of a local daily was allegedly manhandled by the 
owner of the elephant when the former sought details of the mahouts. The 
owner was not willing to disclose the identity of the mahouts.",1
2004.03.EDI.1,2004-03-24,24-03-2004,NG,Hediyala,NG,NG,NG,NG,Mysore,Karnataka,India,NG,NG,0,0,1,0,0,0,0,0,NG,NG,1,NG,NG,NG,0,Other Anthropogenic Causes,0,0,0,0,0,NA,Forest,0,0,0,0,0,0,0,0,0,NA,Elephant calf dies due to explosion of dynamite in its mouth.,NG,The Hindu,Dynamite in Fodder Kills Elephant,25-03-2004,"DYNAMITE IN FODDER KILLS ELEPHANT CALF
The Hindu
March 25, 2004

A dynamite concealed in fodder exploded in the mouth of an elephant calf, 
ripping its face apart and leaving the hapless creature writhing in agony 
until it died on Wednesday.

The incident is suspected to have taken place two days ago near Hediyala 
village on the fringes of the Bandipur National Park. The injured elephant 
calf was first noticed by a few villagers near Heidyala. They brought the 
injured animal to the Mysore zoo for treatment on Wednesday.

Veterinarians, who examined the animal, found that the tongue had been blown 
off and the face mangled. They said that the elephant calf was in a critical 
condition and since infection had set in, death was imminent.

Even as the villagers were shifting the elephant calf, it collapsed and 
died.

The incident brings to light the growing intolerance towards animals among 
some people living on the fringes of the Bandipur and Nagarahole national 
parks, where the man-animal conflict has increased due to water and fodder 
scarcity.

Though studies on elephant killings across the country have documented the 
death of the animals by electrocution, poisoning, shooting, and spearing (in 
a few tribal dominated States), the gruesome method of warding off animals 
from plantations by hiding explosives in fodder is a new and a growing 
phenomenon in South India.

Though poaching of elephants for ivory has reduced after the International 
Union for Conservation of Nature imposed a ban on ivory trade, 
conservationists in India are worried about the alarming rise in the death 
of elephants due to the man-animal conflict.

In the region bordering Karnataka and Kerala, explosives are packed in 
jackfruit or other edibles and when the elephants bite the bait, it triggers 
of an explosion maiming the hapless animal, which dies a slow and painful 
death. The death of the baby elephant from Hediyala range is a case in 
point.

Given the increase in the man-animal conflict and the growing intolerance 
towards wildlife, conservation biologists are worried that the elephant 
population in Bandipur-Nagarahole-Wynad-Mudumalai range may come down.

The region has the highest density of elephants in Asia, and it is estimated 
that the combined area spread over 55000 sq. km. harbours at least 8,000 to 
10,000 elephants.

But the growing intolerance towards wildlife has put a question mark on 
their future.",1
2004.04.EDI.1,2004-03-29,29-03-2004,NG,Dhobamunda,NG,NG,Madhapur,NG,NG,Odisha,India,NG,NG,0,0,1,0,0,0,0,0,1,0,1,NG,NG,NG,0,Other Anthropogenic Causes,0,0,0,1,0,NA,Forest,0,0,0,0,0,0,0,0,0,NA,More information required.,http://www.orissa.net/news/default.asp?NewsID=16949,Orissa.net,2 Elephants killed in Athmallik,05-04-2004,"2 elephants killed in Athmallik
Orissa.net
April 5, 2004

A tusker was killed by poachers in Nuagana forest under Athmallik forest 
range on Friday. Official sources said the body of the tusker (45) with 
bullet injuries was found at Gambhir Chap.

Conservator of Forests, Angul circle, Nagraj Reddy said raids are on at 
different places to nab the culprits. This is the second tusker killed in 
the area within a week. On March 29, a young tusker was found dead at 
Dhobamunda jungle under Madhapur range.",0
2004.04.EDI.1,2004-04-02,02-04-2004,NG,Nagana Forest,NG,NG,Athmallik,NG,NG,Odisha,India,NG,NG,0,0,1,0,0,0,0,0,1,0,1,NG,NG,NG,0,Bullet,0,0,0,1,0,NA,Forest,0,0,0,0,0,0,0,0,0,NA,More information required.,http://www.orissa.net/news/default.asp?NewsID=16949,Orissa.net,2 Elephants killed in Athmallik,05-04-2004,"2 elephants killed in Athmallik
Orissa.net
April 5, 2004

A tusker was killed by poachers in Nuagana forest under Athmallik forest 
range on Friday. Official sources said the body of the tusker (45) with 
bullet injuries was found at Gambhir Chap.

Conservator of Forests, Angul circle, Nagraj Reddy said raids are on at 
different places to nab the culprits. This is the second tusker killed in 
the area within a week. On March 29, a young tusker was found dead at 
Dhobamunda jungle under Madhapur range.",1
